dir,section,size_hex,size_dec,addr_hex
ex4,.text,0x8ec0,36544,0x100000
ex4,.rodata,0xf78,3960,0x108ec0
ex4,.ARM.exidx,0x8,8,0x109e38
ex4,.data,0x40,64,0x109e40
ex4,.bss,0xe7d0,59344,0x109e80
ex4,.comment,0x67,103,0x0
ex4,.ARM.attributes,0x35,53,0x0
ex4,.debug_aranges,0x728,1832,0x0
ex4,.debug_info,0x25d5e,154974,0x0
ex4,.debug_abbrev,0x6ba0,27552,0x0
ex4,.debug_line,0x122dc,74460,0x0
ex4,.debug_frame,0x1830,6192,0x0
ex4,.debug_str,0x4c54,19540,0x0
ex4,.debug_loc,0x11fed,73709,0x0
ex4,.debug_ranges,0x3c70,15472,0x0
ex4,Total,0x73acf,473807,
