dir,section,size_hex,size_dec,addr_hex
ex1,.text,0x8c68,35944,0x100000
ex1,.rodata,0xed0,3792,0x108c68
ex1,.ARM.exidx,0x8,8,0x109b38
ex1,.data,0x40,64,0x109b40
ex1,.bss,0xd1b0,53680,0x109b80
ex1,.comment,0x67,103,0x0
ex1,.ARM.attributes,0x35,53,0x0
ex1,.debug_aranges,0x728,1832,0x0
ex1,.debug_info,0x25cb9,154809,0x0
ex1,.debug_abbrev,0x6ba0,27552,0x0
ex1,.debug_line,0x122dc,74460,0x0
ex1,.debug_frame,0x1830,6192,0x0
ex1,.debug_str,0x4b70,19312,0x0
ex1,.debug_loc,0x11fed,73709,0x0
ex1,.debug_ranges,0x3c70,15472,0x0
ex1,Total,0x72026,466982,
ex2,.text,0x8d30,36144,0x100000
ex2,.rodata,0xf08,3848,0x108d30
ex2,.ARM.exidx,0x8,8,0x109c38
ex2,.data,0x40,64,0x109c40
ex2,.bss,0xd910,55568,0x109c80
ex2,.comment,0x67,103,0x0
ex2,.ARM.attributes,0x35,53,0x0
ex2,.debug_aranges,0x728,1832,0x0
ex2,.debug_info,0x25cf2,154866,0x0
ex2,.debug_abbrev,0x6ba0,27552,0x0
ex2,.debug_line,0x122dc,74460,0x0
ex2,.debug_frame,0x1830,6192,0x0
ex2,.debug_str,0x4bbc,19388,0x0
ex2,.debug_loc,0x11fed,73709,0x0
ex2,.debug_ranges,0x3c70,15472,0x0
ex2,Total,0x7290b,469259,
ex3,.text,0x8df8,36344,0x100000
ex3,.rodata,0xf40,3904,0x108df8
ex3,.ARM.exidx,0x8,8,0x109d38
ex3,.data,0x40,64,0x109d40
ex3,.bss,0xe070,57456,0x109d80
ex3,.comment,0x67,103,0x0
ex3,.ARM.attributes,0x35,53,0x0
ex3,.debug_aranges,0x728,1832,0x0
ex3,.debug_info,0x25d28,154920,0x0
ex3,.debug_abbrev,0x6ba0,27552,0x0
ex3,.debug_line,0x122dc,74460,0x0
ex3,.debug_frame,0x1830,6192,0x0
ex3,.debug_str,0x4c08,19464,0x0
ex3,.debug_loc,0x11fed,73709,0x0
ex3,.debug_ranges,0x3c70,15472,0x0
ex3,Total,0x731ed,471533,
ex4,.text,0x8ec0,36544,0x100000
ex4,.rodata,0xf78,3960,0x108ec0
ex4,.ARM.exidx,0x8,8,0x109e38
ex4,.data,0x40,64,0x109e40
ex4,.bss,0xe7d0,59344,0x109e80
ex4,.comment,0x67,103,0x0
ex4,.ARM.attributes,0x35,53,0x0
ex4,.debug_aranges,0x728,1832,0x0
ex4,.debug_info,0x25d5e,154974,0x0
ex4,.debug_abbrev,0x6ba0,27552,0x0
ex4,.debug_line,0x122dc,74460,0x0
ex4,.debug_frame,0x1830,6192,0x0
ex4,.debug_str,0x4c54,19540,0x0
ex4,.debug_loc,0x11fed,73709,0x0
ex4,.debug_ranges,0x3c70,15472,0x0
ex4,Total,0x73acf,473807,
ex5,.text,0x8f88,36744,0x100000
ex5,.rodata,0xfb0,4016,0x108f88
ex5,.ARM.exidx,0x8,8,0x109f38
ex5,.data,0x40,64,0x109f40
ex5,.bss,0xef30,61232,0x109f80
ex5,.comment,0x67,103,0x0
ex5,.ARM.attributes,0x35,53,0x0
ex5,.debug_aranges,0x728,1832,0x0
ex5,.debug_info,0x25d95,155029,0x0
ex5,.debug_abbrev,0x6ba0,27552,0x0
ex5,.debug_line,0x122dc,74460,0x0
ex5,.debug_frame,0x1830,6192,0x0
ex5,.debug_str,0x4ca0,19616,0x0
ex5,.debug_loc,0x11fed,73709,0x0
ex5,.debug_ranges,0x3c70,15472,0x0
ex5,Total,0x743b2,476082,
