dir,section,size_hex,size_dec,addr_hex
ex1,.text,0x8c68,35944,0x100000
ex1,.rodata,0xed0,3792,0x108c68
ex1,.ARM.exidx,0x8,8,0x109b38
ex1,.data,0x40,64,0x109b40
ex1,.bss,0xd1b0,53680,0x109b80
ex1,.comment,0x67,103,0x0
ex1,.ARM.attributes,0x35,53,0x0
ex1,.debug_aranges,0x728,1832,0x0
ex1,.debug_info,0x25cb9,154809,0x0
ex1,.debug_abbrev,0x6ba0,27552,0x0
ex1,.debug_line,0x122dc,74460,0x0
ex1,.debug_frame,0x1830,6192,0x0
ex1,.debug_str,0x4b70,19312,0x0
ex1,.debug_loc,0x11fed,73709,0x0
ex1,.debug_ranges,0x3c70,15472,0x0
ex1,Total,0x72026,466982,
