dir,object,section,size_hex,size_dec
ex5,gic_support.o,.text,0x0000008c,140
ex5,gic_support.o,.data,0x00000000,0
ex5,gic_support.o,.bss,0x00000000,0
ex5,gic_support.o,.debug_line,0x00000088,136
ex5,gic_support.o,.debug_info,0x00000026,38
ex5,gic_support.o,.debug_abbrev,0x00000014,20
ex5,gic_support.o,.debug_aranges,0x00000020,32
ex5,gic_support.o,.debug_str,0x0000005e,94
ex5,gic_support.o,.ARM.attributes,0x00000021,33
ex5,core_support.o,.text,0x000003dc,988
ex5,core_support.o,.data,0x00000000,0
ex5,core_support.o,.bss,0x00000000,0
ex5,core_support.o,.vector,0x0000003c,60
ex5,core_support.o,.debug_line,0x000001a7,423
ex5,core_support.o,.debug_info,0x00000026,38
ex5,core_support.o,.debug_abbrev,0x00000014,20
ex5,core_support.o,.debug_aranges,0x00000020,32
ex5,core_support.o,.debug_str,0x0000005f,95
ex5,core_support.o,.ARM.attributes,0x00000021,33
ex5,target_kernel_impl.o,.text,0x00000080,128
ex5,target_kernel_impl.o,.data,0x00000040,64
ex5,target_kernel_impl.o,.bss,0x00000000,0
ex5,target_kernel_impl.o,.rodata,0x00000004,4
ex5,target_kernel_impl.o,.debug_info,0x0000060a,1546
ex5,target_kernel_impl.o,.debug_abbrev,0x000002a0,672
ex5,target_kernel_impl.o,.debug_loc,0x0000003c,60
ex5,target_kernel_impl.o,.debug_aranges,0x00000020,32
ex5,target_kernel_impl.o,.debug_ranges,0x00000030,48
ex5,target_kernel_impl.o,.debug_line,0x00000255,597
ex5,target_kernel_impl.o,.debug_str,0x0000053a,1338
ex5,target_kernel_impl.o,.comment,0x00000034,52
ex5,target_kernel_impl.o,.debug_frame,0x00000078,120
ex5,target_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5,chip_kernel_impl.o,.text,0x00000034,52
ex5,chip_kernel_impl.o,.data,0x00000000,0
ex5,chip_kernel_impl.o,.bss,0x00000000,0
ex5,chip_kernel_impl.o,.debug_info,0x00000445,1093
ex5,chip_kernel_impl.o,.debug_abbrev,0x00000168,360
ex5,chip_kernel_impl.o,.debug_loc,0x00000032,50
ex5,chip_kernel_impl.o,.debug_aranges,0x00000020,32
ex5,chip_kernel_impl.o,.debug_line,0x00000168,360
ex5,chip_kernel_impl.o,.debug_str,0x0000041e,1054
ex5,chip_kernel_impl.o,.comment,0x00000034,52
ex5,chip_kernel_impl.o,.debug_frame,0x0000003c,60
ex5,chip_kernel_impl.o,.ARM.attributes,0x00000033,51
ex5,mpcore_kernel_impl.o,.text,0x0000009c,156
ex5,mpcore_kernel_impl.o,.data,0x00000000,0
